section,product_name,category,material,size,price,platform,log_price
COMMON,Channapatna Handcrafted Wooden Peg Dolls Non-Toxic | Open-Ended Play | Montessori Inspired | 2+ Years,Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,449,ChannapatnaToys,6.109247583
COMMON,"Wooden Learning Educational Game Board for Kids, Puzzle Toys for 2 Years Old Boys & Girls (Alphabets, Numbers & Shapes)",Educational Toy,Wood,20*20*3,197,Meesho,5.288267031
COMMON,"Kids Set of 3 Brown Wooden Learning Board Alphabets, Numbers & Shapes Puzzle Toys",Educational Toy,Wood,Onesize,1199,Myntra,7.090076836
COMMON,shumee Kids Beige Rocking Horse Activity Toy,Rocking Toy,Wood,Unknown,6999,Myntra,8.853665428
COMMON,Montessori Wooden Peg Toy,Educational Toy,Wood,Unknown,3834,Etsy,8.251924714
COMMON,Shumee Multicolor Wooden Rocking Horse,Rocking Toy,Wood,27 x 12 x 17.5 in,5800,Pepperfry,8.665785595
REMAINING,CHANNAPATNA TOYS Peg Dolls Wooden Essential Workers/Community Helpers Pretend Play Figurines for Kids & Toddlers (2 Years+) - Pack of 6 Professions,Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,595,Channapatna Toys,6.390240667
REMAINING,CHANNAPATNA TOYS Peg Dolls Wooden Painted Superheroes Set Pretend Play Figurines -Handmade Play Kit for Kids & Toddlers (2 Years+) - Pack of 5 pcs,Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,549,Channapatna Toys,6.309918278
REMAINING,CHANNAPATNA TOYS Wood Peg Dolls Essential Workers Pretend Play Figurines - Colorful Diverse Wooden Toys for Kids & Toddlers (2 Years+) - Pack of 6 pcs,Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,559,Channapatna Toys,6.327936784
REMAINING,"CHANNAPATNA TOYS Wooden Family Peg Dolls For Kids Pretend Play, Open Ended Toys, Waldorf Inspired, (2 Years+, 4 Inch Multicolor, Pack Of 4)",Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,439,Channapatna Toys,6.086774727
REMAINING,"CHANNAPATNA TOYS Wooden Peg Dolls Indian Family - Non Toxic Colors (2 Years+) - Set of 3 Wooden Dolls | Pretend Play, Open Ended Toys",Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,429,Channapatna Toys,6.063785209
REMAINING,Channapatna Handcrafted Wooden Peg Dolls – Traditional Indian Couple (Set of 2) | GI-Tagged Craft | Non-Toxic Colors | 2 Years+,Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,449,Channapatna Toys,6.109247583
