section,product_name,category,material,price,platform,size_numeric,log_price
COMMON,Channapatna Handcrafted Wooden Peg Dolls Non-Toxic | Open-Ended Play | Montessori Inspired | 2+ Years,Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,ChannapatnaToys,2.0,6.1092475827643655
COMMON,"Wooden Learning Educational Game Board for Kids, Puzzle Toys for 2 Years Old Boys & Girls (Alphabets, Numbers & Shapes)",Educational Toy,Wood,197.0,Meesho,2.0,5.288267030694535
COMMON,"Kids Set of 3 Brown Wooden Learning Board Alphabets, Numbers & Shapes Puzzle Toys",Educational Toy,Wood,1199.0,Myntra,8.474133333333333,7.090076835776092
COMMON,shumee Kids Beige Rocking Horse Activity Toy,Rocking Toy,Wood,6999.0,Myntra,8.474133333333333,8.85366542803745
COMMON,Montessori Wooden Peg Toy,Educational Toy,Wood,3834.0,Etsy,8.474133333333333,8.251924713801357
COMMON,Shumee Multicolor Wooden Rocking Horse,Rocking Toy,Wood,5800.0,Pepperfry,8.474133333333333,8.665785595466064
REMAINING,CHANNAPATNA TOYS Peg Dolls Wooden Essential Workers/Community Helpers Pretend Play Figurines for Kids & Toddlers (2 Years+) - Pack of 6 Professions,Open-ended / Pretend Play / Educational Toys,Natural Wood,595.0,Channapatna Toys,8.474133333333333,6.39024066706535
REMAINING,CHANNAPATNA TOYS Peg Dolls Wooden Painted Superheroes Set Pretend Play Figurines -Handmade Play Kit for Kids & Toddlers (2 Years+) - Pack of 5 pcs,Open-ended / Pretend Play / Educational Toys,Natural Wood,549.0,Channapatna Toys,8.474133333333333,6.309918278226516
REMAINING,CHANNAPATNA TOYS Wood Peg Dolls Essential Workers Pretend Play Figurines - Colorful Diverse Wooden Toys for Kids & Toddlers (2 Years+) - Pack of 6 pcs,Open-ended / Pretend Play / Educational Toys,Natural Wood,559.0,Channapatna Toys,8.474133333333333,6.327936783729195
REMAINING,"CHANNAPATNA TOYS Wooden Family Peg Dolls For Kids Pretend Play, Open Ended Toys, Waldorf Inspired, (2 Years+, 4 Inch Multicolor, Pack Of 4)",Open-ended / Pretend Play / Educational Toys,Natural Wood,439.0,Channapatna Toys,8.474133333333333,6.0867747269123065
REMAINING,"CHANNAPATNA TOYS Wooden Peg Dolls Indian Family - Non Toxic Colors (2 Years+) - Set of 3 Wooden Dolls | Pretend Play, Open Ended Toys",Open-ended / Pretend Play / Educational Toys,Natural Wood,429.0,Channapatna Toys,8.474133333333333,6.063785208687608
REMAINING,Channapatna Handcrafted Wooden Peg Dolls – Traditional Indian Couple (Set of 2) | GI-Tagged Craft | Non-Toxic Colors | 2 Years+,Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,Channapatna Toys Peg Dolls Wooden Doctors Family Pretend Play Figurines - Colorful Diverse Natural Toys | Organic Handmade Play Kit for Kids&Toddlers,Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,Channapatna Toys Peg Dolls Wooden Painted Family Pretend Play Figurines - Colorful Diverse Natural Toys | Organic Handmade Play Kit for Kids&Toddlers,Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,Channapatna Toys Peg Dolls Wooden Painted Family Pretend Play Figurines - Colorful Diverse Natural Toys |Organic Handmade Play Kit for Kids & Toddler,Open-ended / Pretend Play / Educational Toys,Natural Wood,499.0,Channapatna Toys,8.474133333333333,6.214608098422191
REMAINING,Channapatna Toys Peg Dolls Wooden Unfinished for DIY Craft Set Unpainted Family Pretend Play Figurines - Colorful Diverse Natural Toys,Open-ended / Pretend Play / Educational Toys,Natural Wood,359.0,Channapatna Toys,8.474133333333333,5.886104031450156
REMAINING,"Channapatna Toys Wooden Peg Dolls Family ( 3 Years+) - Pack of 4 | Pretend Play, Open Ended Toys, Waldorf Inspired, Improves Childs Imagination",Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,"Channapatna Toys Wooden Peg Dolls Family Non Toxic Colors ( 2 Years+) - Set of 4 Wooden Dolls | Pretend Play, Open Ended Toys, Waldorf Inspired",Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,"Channapatna Toys Wooden Peg Dolls Modern Family Non Toxic Colors ( 2 Years+) - Set of 4 Wooden Dolls | Pretend Play, Open Ended Toys, Waldorf Inspired",Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,"Channapatna Toys Wooden Peg Dolls Poojari Family Non Toxic Colors ( 2 Years+) - Set of 4 Wooden Dolls | Pretend Play, Open Ended Toys",Open-ended / Pretend Play / Educational Toys,Natural Wood,449.0,Channapatna Toys,8.474133333333333,6.1092475827643655
REMAINING,"Channapatna Toys Wooden Peg Dolls South Indian Couples Non Toxic Colors ( 2 Years+) - Set of 6 Wooden Dolls | Pretend Play, Open Ended Toys",Open-ended / Pretend Play / Educational Toys,Natural Wood,689.0,Channapatna Toys,8.474133333333333,6.536691597591305
REMAINING,Channapatna Wooden Hand-Painted Raja Rani Peg Dolls | Traditional Indian Couple Figurines | Eco-Friendly Decorative Toy Set for Kids & Home Décor,Open-ended / Pretend Play / Educational Toys,Natural Wood,499.0,Channapatna Toys,8.474133333333333,6.214608098422191
REMAINING,"Channapatna Wooden Peg Dolls Set of 8 - Handcrafted Multicultural Figurines for Kids, Montessori Educational Toys, Non-Toxic, Made in India",Open-ended / Pretend Play / Educational Toys,Natural Wood,1199.0,Channapatna Toys,8.474133333333333,7.090076835776092
REMAINING,"Channapatna Wooden Peg Dolls Set, Doctors Family Figurines, Pretend Play Toys",Open-ended / Pretend Play / Educational Toys,Natural Wood,499.0,Channapatna Toys,8.474133333333333,6.214608098422191
REMAINING,"Channapatna Wooden Space Peg Dolls Set, Astronaut and Alien Figures, Rocket Montessori Educational Toy, Solar System-Themed Toy Set",Open-ended / Pretend Play / Educational Toys,Natural Wood,699.0,Channapatna Toys,8.474133333333333,6.551080335043404
REMAINING,"Channapatna toys Wooden Peg Dolls Bengali Couple Non Toxic Colors (2 Years+) - Set of 2 Wooden Dolls | Pretend Play, Open Ended Toys",Open-ended / Pretend Play / Educational Toys,Natural Wood,369.0,Channapatna Toys,8.474133333333333,5.91350300563827
REMAINING,"Channapatna toys wooden family peg dolls for kids (2 Years+)- 4-inch Multicolor -pack of 4 - pretend play, open-ended toys, Waldorf inspired",Open-ended / Pretend Play / Educational Toys,Natural Wood,419.0,Channapatna Toys,8.474133333333333,6.040254711277414
REMAINING,"Traditional Channapatna Wooden Peg Dolls, Marathi Couple in Traditional Attire, Handcrafted Indian Folk Art",Open-ended / Pretend Play / Educational Toys,Natural Wood,429.0,Channapatna Toys,8.474133333333333,6.063785208687608
REMAINING,"Wooden Christmas Peg Doll Figurines Set of 7 – Handcrafted Holiday Decor (Santa, Snowman, Tree, Gingerbread) – Non-Toxic, Eco-Friendly & Home Decor",Open-ended / Pretend Play / Educational Toys,Sustainable Wood,999.0,Channapatna Toys,8.474133333333333,6.907755278982137
REMAINING,"Wooden Peg Dolls - Handcrafted DIY Craft Set for Kids | Ideal for Pretend Play, and Montessori Education | 10 Pcs (5 Male & 5 Female) | 9.5 cm New",Open-ended / Pretend Play / Educational Toys,Natural Wood,799.0,Channapatna Toys,10.0,6.684611727667927
REMAINING,MEERAN ART AND CRAFTS CHANNAPATNA Toys Indian Old Traditional Wooden Marriage Tabla Set,Pretend Play / Cultural Toys / Decor,Natural Wood,999.0,Channapatna Toys,8.474133333333333,6.907755278982137
REMAINING,4Pcs Christmas Hand Jingle Bells Handheld Sleigh Bells Wooden Handle Bells Rattles Musical Rhythm Percussion Instruments Children Musical Toys,Baby Rattle,Ivory wood (Wrightia tinctoria),499.0,Channapatna Toys,4.0,6.214608098422191
REMAINING,"5-in-1 Wooden Activity Triangle Learning Toy| Learn Alphabets, Time & Movement with Abacus, Drawing Writing Board, Alphabet Blocks, Clock & Gears",Educational Toy,Wood,2199.0,Channapatna Toys,5.0,7.696212639346407
REMAINING,"Authentic Channapatna Wooden Baby Rattle Toys set for Infants, New Born Babies (0+Years)-Set of 6 pcs-Discover Sounds, Develops Sensory Skills (Oval)",Baby Rattle,Wood,798.0,Channapatna Toys,8.474133333333333,6.683360945766275
REMAINING,Authentic Channapatna Wooden Baby Rattle Toys – Set of 6 pcs,Baby Rattle,Ivory wood (Wrightia tinctoria),798.0,Channapatna Toys,8.474133333333333,6.683360945766275
REMAINING,"Authentic Channapatna Wooden Rattles Toys for Baby, Infants, New Born Babies Toys, Kids (0-12 months) - Set of 7 pcs - Multicolor - Discover Sounds",Baby Rattle,Ivory wood (Wrightia tinctoria),847.0,Channapatna Toys,8.474133333333333,6.742880635791903
REMAINING,"Authentic Channapatna wooden baby rattle toys for infants, Ecofriendly baby toys, New born babies (0-12 months) - set of 6 pcs",Baby Rattle,Seasoned Hale Wood & Natural Lacquer.,798.0,Channapatna Toys,8.474133333333333,6.683360945766275
REMAINING,CHANNAPATNA Handmade Small Sized Wooden Pots with Home Decorative Wooden Wall Hanging/Display Hut Shape for Home/Kitchen/Office/Bedroom/Living Room,Educational Toy,Wood,599.0,Channapatna Toys,8.474133333333333,6.396929655216146
REMAINING,"CHANNAPATNA Handmade Wooden Spices Masala Jar, Wooden Container with Lid Cover for Tea Coffee Sugar Jar/Container/Storage Multipurpose",Home Decor,Wood,1249.0,Channapatna Toys,8.474133333333333,7.1308988302963465
REMAINING,"CHANNAPATNA Montessori Natural Wooden Developmental Toys for Babies Rainbow Stacking Toy, Roly Poly Toy, Spinning Tops - Toddlers 1+ (Set of 3)",Educational Toy,Natural Wood,1799.0,Channapatna Toys,8.474133333333333,7.495541943884256
REMAINING,CHANNAPATNA TOYS 10 Piece Wooden Wild Animals/Forest Animals/Classic Toy for Pretend Play/Educational Balancing Toy,Educational Toy,Wood,1499.0,Channapatna Toys,10.0,7.313220387090301
REMAINING,"CHANNAPATNA TOYS Handcrafted Wooden Keychains Set of 4, Multicolored",Art & Craft,Wood,499.0,Channapatna Toys,8.474133333333333,6.214608098422191
REMAINING,"CHANNAPATNA TOYS Montessori Learning Wooden Toys | Box 5: 6-9 Months | Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Educational Toy,Wood,799.0,Channapatna Toys,9.0,6.684611727667927
REMAINING,"CHANNAPATNA TOYS Montessori Learning Wooden Toys | Box 6: 6-9 Months | Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Educational Toy,Wood,849.0,Channapatna Toys,9.0,6.745236349484363
REMAINING,"CHANNAPATNA TOYS Montessori Learning Wooden Toys | Box 7: 6-9 Months | Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Educational Toy,Wood,1549.0,Channapatna Toys,9.0,7.346010209913293
REMAINING,"CHANNAPATNA TOYS Montessori Toys for 2 3 Year Old Unisex Toddlers, Wooden Sorting & Stacking Toys Kids Preschool, Educational Puzzle Set",Educational Toy,Wood,474.0,Channapatna Toys,3.0,6.163314804034641
REMAINING,CHANNAPATNA TOYS Organic Wooden Ice Cream Stacking Toy for Kids - (1 Year+) - Montessori Toys for Toddlers 1-3 Years Old and Up - Multicolor,Educational Toy,Wood,649.0,Channapatna Toys,3.0,6.476972362889683
REMAINING,"CHANNAPATNA TOYS Pull Along Wooden Train & Stacking Toy for 12 Months + Kids, Toddlers, Infant & Preschool Toys - Set of 2 pcs- Multicolor",Building Blocks,Wood,849.0,Channapatna Toys,8.474133333333333,6.745236349484363
REMAINING,"CHANNAPATNA TOYS Shape Sorting Cube-Classic Montessori Wooden Toy with 15 Shapes-Kids Shape Sorter Toys for Toddlers Ages 2+, 12 Pcs",Educational Toy,Wood,949.0,Channapatna Toys,15.0,6.856461984594587
REMAINING,CHANNAPATNA TOYS Unfinished Wood Peg Doll Family Set - 4 Natural Wooden Dolls for DIY Crafts and Pretend Play - Free Colors & Brush for Kids 2+,Open-ended / Pretend Play / Educational Toys,Natural Wood,399.0,Channapatna Toys,4.0,5.991464547107982
REMAINING,"CHANNAPATNA TOYS Wooden Baby Rattle & 1 Animal Shaker Toys Set for Infants, New Born Babies (0+ Years) - Set of 5 pcs - Multicolor - Discover sounds",Baby Rattle,Wood,847.0,Channapatna Toys,8.474133333333333,6.742880635791903
REMAINING,"CHANNAPATNA TOYS Wooden Bowling Pins Toy & Cup and Ball Game Set for Kids (2 Years+) - Non Toxic Colors, Indoor & Outdoor Game, Fun Learning for Kids",Educational Toy,Wood,999.0,Channapatna Toys,2.0,6.907755278982137
REMAINING,CHANNAPATNA TOYS Wooden Christmas Russian Nesting Dolls Set for Kids (2 Years+) - 6 Inch Multicolor - Set of 5 pcs,Doll,Wood,639.0,Channapatna Toys,8.474133333333333,6.461468176353717
REMAINING,CHANNAPATNA TOYS Wooden Christmas Toys Peg Dolls Family Pretend Play Figurines - Colorful Toys for Kids & Toddlers (2 Years+) - Pack of 5 pcs,Open-ended / Pretend Play / Educational Toys,Wood,569.0,Channapatna Toys,8.474133333333333,6.345636360828596
REMAINING,"CHANNAPATNA TOYS Wooden Colourful Rainbow Roly Poly Toy for Baby, Toddlers, Kids(1 Year+) Wobbling Tumbler Toy- Develops Curiosity & Motor Skills",Baby Rattle,"Made with wood and colored with non toxic paints. No Batteries, No Plastic",499.0,Channapatna Toys,1.0,6.214608098422191
REMAINING,"CHANNAPATNA TOYS Wooden Family Peg Dolls Set of 8 – Handcrafted Traditional Indian Family Figures, Montessori Pretend Play Toys for Kids, Non-Toxic",Educational Toy,Wood,849.0,Channapatna Toys,8.474133333333333,6.745236349484363
REMAINING,CHANNAPATNA TOYS Wooden Indian Flag Russian Nesting Dolls Set for Kids (2 Years+) - 6 Inch Multicolor - Set of 5 pcs - Improves Hand Eye Coordination,Doll,Made from natural cuts of wood and decorated with safe water-based paints,649.0,Channapatna Toys,8.474133333333333,6.476972362889683
REMAINING,CHANNAPATNA TOYS Wooden Indian Pot Lady Doll for Kids (3 Years+) 8 inch Multi Color- Learning The Professions,Educational Toy,Wood,399.0,Channapatna Toys,20.32,5.991464547107982
REMAINING,CHANNAPATNA TOYS Wooden Nativity Christmas Russian Nesting Dolls Set for Kids (2 Years+) 6 Inch Multicolor - Set of 5 pcs Improves Fine Motor Skills,Doll,Wood,549.0,Channapatna Toys,8.474133333333333,6.309918278226516
REMAINING,CHANNAPATNA TOYS Wooden Prince & Princess Peg Dolls | Montessori Open-Ended Pretend Play | Traditional Indian Handcrafted Toy (Set of 2),Educational Toy,Wood,499.0,Channapatna Toys,8.474133333333333,6.214608098422191
REMAINING,CHANNAPATNA TOYS Wooden Rainbow Stacking Toy & Rainbow Roly Poly Toy for Kids 1+ Stacking Blocks Toy - Set of 2,Baby Rattle,Wood,1438.0,Channapatna Toys,8.474133333333333,7.271703706887368
REMAINING,CHANNAPATNA TOYS Wooden Roly Poly Balancing Dolls for Kids (1 Years+) - Set of 2 Pieces - Develops Curiosity & Fine Motor Skills New,Baby Rattle,"Made with wood and colored with non toxic paints. No Batteries, No Plastic",649.0,Channapatna Toys,8.474133333333333,6.476972362889683
