product_name,category,material,material_raw,size,length_cm,width_cm,height_cm,price,mrp,discount,rating,review_count,seller,platform,product_url,source_type,date_collected,verification_note
"Wooden Learning Puzzle Board for Kids | Alphabet Letters, Numbers & Shapes To",Educational Toy,Wood,Wood,20*20*2,,,,171.0,187.0,9.0,4.2,1190.0,LITTLE KIYAN ENTERPRICE,Meesho,https://www.meesho.com/wooden-learning-puzzle-board-for-kids-alphabet-letters-numbers-shapes-to/p/b6ysqk,Direct Wooden Toy,2026-09-17,
Wooden Alphabet & Number Puzzle Board for Kids | Early Learning Educational Toy,Educational Toy,Wood,Wood,20*20*2,,,,177.0,,,4.1,189.0,LITTLE KIYAN ENTERPRICE,Meesho,https://www.meesho.com/wooden-alphabet-number-puzzle-board-for-kids-early-learning-educational-toy/p/b6yvo1,Direct Wooden Toy,2026-09-17,
Body Parts wooden Jigsaw Preschool & Playgroup Educational Puzzle kids toys for age 2 to 5 year baby boys & gils,Educational Toy,Wood,Wood,Free Size,,,,106.0,,,4.1,395.0,SHREEVI,Meesho,https://www.meesho.com/body-parts-wooden-jigsaw-preschool-playgroup-educational-puzzle-kids-toys-for-age-2-to-5-year-baby-boys-gils-toddler-activity-learning-board-game-for-kindergarten-childrens-body-parts/p/6olczn,Direct Wooden Toy,2026-09-17,
"Kids Montessori Slide Puzzle I Color & Pattern Matching Learning Toys for Kids, Color Coder Wooden Puzzle 4-8 Years",Puzzle,Wood,Wood,21.6 X 16.8 X 1,,,,189.0,,,4.5,1029.0,THE ALPHA ENTERPRISE,Meesho,https://www.meesho.com/kids-montessori-slide-puzzle-i-color-pattern-matching-learning-toys-for-kids-color-coder-wooden-puzzle-4-8-years-i-birthday-gift-for-boysgirls-i-preschool-educational-activity-toy-for-45678i-travel-friendly/p/7xn63m,Direct Wooden Toy,2026-09-17,
"Wooden Alphabet Puzzle Toys, ABC Letter & Number Puzzle for Toddlers 18+ Months Old",Educational Toy,Wood,Wood,20*20*2,,,,110.0,,,3.9,10831.0,ROYAL SALES AND SERVICES,Meesho,https://www.meesho.com/wooden-alphabet-puzzle-toys-abc-letter-number-puzzle-for-toddlers-18-months-old-preschool-learning-toys-for-kids-educational-name-puzzle-gift-for-boys-and-girls-alphabet-puzzle/p/7hf0mf,Direct Wooden Toy,2026-09-17,
"Wooden Learning Educational Board for Kids, Puzzle Toys for 2 Years Old Boys & Girls Educational Toys for Toddlers & Preschoolers, ABCD for Kids",Educational Toy,Wood,Wood,12*10*10,,,,192.0,,,4.2,1009.0,ICHHA HOUSE,Meesho,https://www.meesho.com/wooden-learning-educational-board-for-kids-puzzle-toys-for-2-years-old-boys-girls-educational-toys-for-toddlers-preschoolers-abcd-for-kidsalphabets-numbers-shapes/p/btwp7v,Direct Wooden Toy,2026-09-17,
Wooden Shape Puzzle Board for Kids | Montessori Educational Toy with Colourful Geometric Shapes,Educational Toy,Unknown,,Free Size,,,,98.0,,,4.2,8.0,MAHANT ENTERPRISE_1,Meesho,https://www.meesho.com/wooden-shape-puzzle-board-for-kids-montessori-educational-toy-with-colourful-geometric-shapes-early-learning-puzzle-for-shape-colour-recognition-fine-motor-skills-toy-for-24-years/p/b6jop3,Direct Wooden Toy,2026-09-17,
"Wooden Educational Puzzle Board Set for Kids | Alphabet, Numbers & Shapes Learning Toy",Educational Toy,Wood,Wood,20*20*2,,,,175.0,177.0,1.0,4.2,340.0,YUG ENTERPRISES ltd,Meesho,https://www.meesho.com/wooden-educational-puzzle-board-set-for-kids-alphabet-numbers-shapes-learning-toy/p/c2diky,Direct Wooden Toy,2026-09-17,
kids Wooden Educational Creative learning A To Z English Alphabets Board Puzzle,Educational Toy,Unknown,,12*8*5,,,,117.0,,,3.9,2438.0,TRAKUDI,Meesho,https://www.meesho.com/kids-wooden-educational-creative-learning-a-to-z-english-alphabets-board-puzzle/p/7lebpp,Direct Wooden Toy,2026-09-17,
"Wooden Learning Educational Board for Kids, Alphabet & Number & Shape Puzzles for Kids",Educational Toy,Unknown,,20*20*3,,,,199.0,,,4.2,353.0,ZARQITO,Meesho,https://www.meesho.com/wooden-learning-educational-board-for-kids-alphabet-number-shape-puzzles-for-kids-educational-toys-for-toddlers-preschoolers-abcd-puzzle-set-alphabets-numbers-shapes/p/89sakb,Direct Wooden Toy,2026-09-17,
